Feelings	Functions	Attributes	Numbers
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 82.347598, Y Length = 67.98842, Height = 85.084868, Number of Points = 88.020857, Distribution Seed = 38.527348, Mesh Relaxation = 0.368049, Smooth Level = 1, 	17
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 16.665302, Y Length = 83.296844, Height = 74.885895, Number of Points = 39.009294, Distribution Seed = 94.436487, Mesh Relaxation = 0.748535, Smooth Level = 1, 	18
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 17.704465, Y Length = 57.703879, Height = 80.491091, Number of Points = 16.911842, Distribution Seed = 49.10824, Mesh Relaxation = 0.398897, Smooth Level = 1, 	19
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation, Horizontal Circulation,         	X LENGTH = 15.454437, Y Length = 96.481233, Height = 76.040134, Number of Points = 86.331304, Distribution Seed = 36.304568, Mesh Relaxation = 0.388796, Smooth Level = 1, 	20
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	 Horizontal Circulation,         	X LENGTH = 96.182083, Y Length = 64.400188, Height = 28.604726, Number of Points = 20.667816, Distribution Seed = 83.815532, Mesh Relaxation = 0.006922, Smooth Level = 2, 	21
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 31.198754, Y Length = 72.889544, Height = 74.322622, Number of Points = 39.712049, Distribution Seed = 78.024998, Mesh Relaxation = 0.520893, Smooth Level = 1, 	22
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 84.847402, Y Length = 65.942071, Height = 52.909449, Number of Points = 59.776933, Distribution Seed = 56.974718, Mesh Relaxation = 0.152217, Smooth Level = 2, 	23
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,    Work,      	X LENGTH = 55.564461, Y Length = 76.984634, Height = 28.783077, Number of Points = 89.806455, Distribution Seed = 11.388718, Mesh Relaxation = 0.593785, Smooth Level = 1, 	24
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 74.423449, Y Length = 56.911233, Height = 23.503168, Number of Points = 34.06488, Distribution Seed = 75.806808, Mesh Relaxation = 0.730058, Smooth Level = 1, 	25
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 74.681765, Y Length = 88.41974, Height = 81.189631, Number of Points = 46.718387, Distribution Seed = 31.351554, Mesh Relaxation = 0.084903, Smooth Level = 1, 	26
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 21.836296, Y Length = 58.849895, Height = 99.42658, Number of Points = 15.893557, Distribution Seed = 69.026869, Mesh Relaxation = 0.524058, Smooth Level = 1, 	27
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 92.134666, Y Length = 18.745211, Height = 11.692111, Number of Points = 83.662036, Distribution Seed = 2.887989, Mesh Relaxation = 0.872195, Smooth Level = 1, 	28
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 66.131567, Y Length = 81.624532, Height = 32.200962, Number of Points = 46.623717, Distribution Seed = 69.793742, Mesh Relaxation = 0.801889, Smooth Level = 2, 	29
Pensiveness, Joy, Ecstasy, Loathing, Trust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 22.745635, Y Length = 98.704512, Height = 99.385965, Number of Points = 87.8592, Distribution Seed = 28.848121, Mesh Relaxation = 0.969167, Smooth Level = 2, 	30
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 81.064216, Y Length = 27.324579, Height = 88.538359, Number of Points = 80.560918, Distribution Seed = 79.197816, Mesh Relaxation = 0.423934, Smooth Level = 1, 	31
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 60.392185, Y Length = 25.632488, Height = 45.740889, Number of Points = 95.041203, Distribution Seed = 6.29459, Mesh Relaxation = 0.759691, Smooth Level = 1, 	32
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation,  Work,      	X LENGTH = 24.507591, Y Length = 68.398799, Height = 64.781666, Number of Points = 58.392949, Distribution Seed = 70.475403, Mesh Relaxation = 0.649856, Smooth Level = 1, 	33
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 12.977148, Y Length = 48.17472, Height = 89.251119, Number of Points = 31.857253, Distribution Seed = 98.773817, Mesh Relaxation = 0.357821, Smooth Level = 1, 	34
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 40.988197, Y Length = 66.055041, Height = 25.577759, Number of Points = 5.748533, Distribution Seed = 66.311032, Mesh Relaxation = 0.532925, Smooth Level = 1, 	35
Pensiveness, Sadness, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 39.89664, Y Length = 39.796008, Height = 80.648167, Number of Points = 40.6544, Distribution Seed = 27.668842, Mesh Relaxation = 0.778601, Smooth Level = 1, 	36
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 67.019197, Y Length = 22.025222, Height = 47.964073, Number of Points = 80.471599, Distribution Seed = 83.447192, Mesh Relaxation = 0.457616, Smooth Level = 1, 	37
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 14.776066, Y Length = 97.592037, Height = 58.715235, Number of Points = 40.862488, Distribution Seed = 99.979369, Mesh Relaxation = 0.470475, Smooth Level = 1, 	38
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 77.994284, Y Length = 58.774669, Height = 89.800279, Number of Points = 6.190942, Distribution Seed = 9.990143, Mesh Relaxation = 0.031869, Smooth Level = 2, 	39
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,  Work,      	X LENGTH = 25.880464, Y Length = 98.198501, Height = 72.295225, Number of Points = 67.834015, Distribution Seed = 27.823036, Mesh Relaxation = 0.956746, Smooth Level = 1, 	40
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 52.155825, Y Length = 41.192673, Height = 36.501789, Number of Points = 42.016368, Distribution Seed = 64.312795, Mesh Relaxation = 0.534813, Smooth Level = 1, 	41
Serenity, Sadness, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work,    Arts Space,  	X LENGTH = 98.846007, Y Length = 80.230817, Height = 59.613261, Number of Points = 95.659552, Distribution Seed = 19.93601, Mesh Relaxation = 0.624564, Smooth Level = 1, 	42
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation, Horizontal Circulation,         	X LENGTH = 85.984094, Y Length = 31.562013, Height = 77.607674, Number of Points = 46.049448, Distribution Seed = 48.235533, Mesh Relaxation = 0.713804, Smooth Level = 1, 	43
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Anger, Annoyance, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 16.767406, Y Length = 85.5081, Height = 82.311194, Number of Points = 10.882055, Distribution Seed = 21.296316, Mesh Relaxation = 0.154871, Smooth Level = 1, 	44
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 80.287649, Y Length = 89.228437, Height = 32.146517, Number of Points = 88.490064, Distribution Seed = 86.325543, Mesh Relaxation = 0.003548, Smooth Level = 2, 	45
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 99.211302, Y Length = 24.375146, Height = 81.120259, Number of Points = 24.951596, Distribution Seed = 2.162833, Mesh Relaxation = 0.950565, Smooth Level = 1, 	46
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 25.112224, Y Length = 91.570387, Height = 56.169266, Number of Points = 30.591612, Distribution Seed = 4.086247, Mesh Relaxation = 0.542401, Smooth Level = 2, 	47
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation, Horizontal Circulation,  Facilities, Work,    Arts Space,  	X LENGTH = 61.050369, Y Length = 98.014305, Height = 94.983925, Number of Points = 85.69074, Distribution Seed = 42.749404, Mesh Relaxation = 0.552525, Smooth Level = 1, 	48
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,  Vertical Circulation,        	X LENGTH = 82.916484, Y Length = 59.791156, Height = 91.973999, Number of Points = 65.383459, Distribution Seed = 62.866482, Mesh Relaxation = 0.933528, Smooth Level = 1, 	49
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation, Horizontal Circulation,  Facilities, Work,    Arts Space,  	X LENGTH = 94.102312, Y Length = 21.200795, Height = 82.517637, Number of Points = 91.415479, Distribution Seed = 45.983046, Mesh Relaxation = 0.01652, Smooth Level = 1, 	50
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 66.859195, Y Length = 85.156887, Height = 90.187276, Number of Points = 36.728756, Distribution Seed = 62.158606, Mesh Relaxation = 0.627751, Smooth Level = 1, 	51
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	          	X LENGTH = 80.253367, Y Length = 42.753835, Height = 27.729404, Number of Points = 57.51762, Distribution Seed = 51.606451, Mesh Relaxation = 0.745565, Smooth Level = 1, 	52
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,      	X LENGTH = 83.083168, Y Length = 91.235076, Height = 80.93788, Number of Points = 14.736762, Distribution Seed = 24.0175, Mesh Relaxation = 0.402469, Smooth Level = 1, 	53
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Distraction, 	Habitation,          	X LENGTH = 78.429464, Y Length = 75.62942, Height = 38.413818, Number of Points = 43.309631, Distribution Seed = 12.188735, Mesh Relaxation = 0.977193, Smooth Level = 1, 	54
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,          	X LENGTH = 34.417935, Y Length = 35.23525, Height = 55.507242, Number of Points = 60.062362, Distribution Seed = 93.337392, Mesh Relaxation = 0.534247, Smooth Level = 1, 	55
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,  Vertical Circulation,        	X LENGTH = 32.790913, Y Length = 49.618031, Height = 43.933983, Number of Points = 63.052339, Distribution Seed = 28.901197, Mesh Relaxation = 0.280808, Smooth Level = 1, 	56
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Amazement, Anticipation, Distraction, 	Habitation,    Work,      	X LENGTH = 39.425215, Y Length = 77.34737, Height = 65.328568, Number of Points = 65.864073, Distribution Seed = 56.687523, Mesh Relaxation = 0.630241, Smooth Level = 1, 	57
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	          	X LENGTH = 71.077711, Y Length = 99.870944, Height = 25.558614, Number of Points = 55.907671, Distribution Seed = 56.287485, Mesh Relaxation = 0.644294, Smooth Level = 1, 	58
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Anticipation, Focus, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 44.388801, Y Length = 85.936257, Height = 89.22498, Number of Points = 80.618568, Distribution Seed = 17.935173, Mesh Relaxation = 0.659955, Smooth Level = 1, 	59
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,  Vertical Circulation, Facilities, Work,      	X LENGTH = 64.467435, Y Length = 48.234088, Height = 71.81304, Number of Points = 76.84865, Distribution Seed = 53.738792, Mesh Relaxation = 0.197403, Smooth Level = 1, 	60
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 30.96137, Y Length = 51.761514, Height = 51.517925, Number of Points = 30.657131, Distribution Seed = 73.768215, Mesh Relaxation = 0.429475, Smooth Level = 1, 	61
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 48.595114, Y Length = 94.478917, Height = 72.568181, Number of Points = 19.629614, Distribution Seed = 90.909598, Mesh Relaxation = 0.678436, Smooth Level = 2, 	62
Pensiveness, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Amazement, Anticipation, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 41.714945, Y Length = 84.425266, Height = 87.383309, Number of Points = 90.841699, Distribution Seed = 88.728729, Mesh Relaxation = 0.257885, Smooth Level = 1, 	63
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,  Vertical Circulation,        	X LENGTH = 77.282934, Y Length = 39.648692, Height = 41.248388, Number of Points = 88.982418, Distribution Seed = 70.794722, Mesh Relaxation = 0.34561, Smooth Level = 1, 	64
Pensiveness, Sadness, Grief, Admiration, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 42.431572, Y Length = 16.208939, Height = 89.299583, Number of Points = 95.094479, Distribution Seed = 33.046956, Mesh Relaxation = 0.999608, Smooth Level = 1, 	65
Serenity, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Anger, Apprehension, Amazement, Surprise, Distraction, 	  Vertical Circulation,        	X LENGTH = 61.86086, Y Length = 45.059143, Height = 48.829275, Number of Points = 56.372617, Distribution Seed = 38.958766, Mesh Relaxation = 0.749171, Smooth Level = 2, 	66
Serenity, Joy, Ecstasy, Admiration, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 61.688395, Y Length = 79.082748, Height = 34.058453, Number of Points = 84.625837, Distribution Seed = 15.903144, Mesh Relaxation = 0.910495, Smooth Level = 1, 	67
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,   Facilities, Work,   Meditation and Reading, Arts Space,  	X LENGTH = 68.613211, Y Length = 97.865569, Height = 76.003818, Number of Points = 44.119862, Distribution Seed = 46.765189, Mesh Relaxation = 0.65257, Smooth Level = 1, 	68
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,   Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 54.023152, Y Length = 99.304914, Height = 89.668019, Number of Points = 43.825484, Distribution Seed = 20.8413, Mesh Relaxation = 0.447708, Smooth Level = 1, 	69
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	  Vertical Circulation,        	X LENGTH = 68.191959, Y Length = 54.648519, Height = 43.173665, Number of Points = 7.020424, Distribution Seed = 31.954826, Mesh Relaxation = 0.398019, Smooth Level = 1, 	70
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	Habitation,          	X LENGTH = 95.424289, Y Length = 64.161167, Height = 34.056195, Number of Points = 14.437158, Distribution Seed = 18.277119, Mesh Relaxation = 0.201699, Smooth Level = 2, 	71
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Acceptance, Terror, Fear, Apprehension, Amazement, Surprise, Distraction, 	Habitation, Horizontal Circulation,  Facilities, Work, Exhibiting,  Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 94.591246, Y Length = 32.059241, Height = 82.21377, Number of Points = 41.103758, Distribution Seed = 93.565015, Mesh Relaxation = 0.065227, Smooth Level = 1, 	72
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,          	X LENGTH = 44.287731, Y Length = 56.562891, Height = 41.765801, Number of Points = 67.958963, Distribution Seed = 46.669602, Mesh Relaxation = 0.824981, Smooth Level = 1, 	73
Pensiveness, Sadness, Grief, Loathing, Trust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	          	X LENGTH = 11.25146, Y Length = 79.032036, Height = 41.306119, Number of Points = 7.212309, Distribution Seed = 86.394854, Mesh Relaxation = 0.669432, Smooth Level = 1, 	74
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	 Horizontal Circulation,         	X LENGTH = 47.428303, Y Length = 49.795832, Height = 70.31015, Number of Points = 15.307245, Distribution Seed = 20.457636, Mesh Relaxation = 0.419521, Smooth Level = 1, 	75
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	  Vertical Circulation,        	X LENGTH = 78.799021, Y Length = 35.275685, Height = 87.848271, Number of Points = 80.943423, Distribution Seed = 5.693553, Mesh Relaxation = 0.926063, Smooth Level = 1, 	76
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Rage, Anger, Apprehension, Amazement, Anticipation, Focus, 	Habitation,  Vertical Circulation, Facilities, Work, Exhibiting, Gathering Nodes, Meditation and Reading, Arts Space, Cafe/Restaurant, 	X LENGTH = 82.505993, Y Length = 51.170412, Height = 98.287544, Number of Points = 74.423445, Distribution Seed = 35.5374, Mesh Relaxation = 0.025173, Smooth Level = 2, 	77
Pensiveness, Sadness, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Amazement, Surprise, Distraction, 	Habitation,   Facilities, Work,      	X LENGTH = 60.734027, Y Length = 87.368196, Height = 46.265083, Number of Points = 16.666577, Distribution Seed = 98.422216, Mesh Relaxation = 0.208732, Smooth Level = 1, 	78
Pensiveness, Sadness, Grief, Admiration, Disgust, Boredom, Rage, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	 Horizontal Circulation,         	X LENGTH = 19.494406, Y Length = 21.080986, Height = 55.165798, Number of Points = 87.106828, Distribution Seed = 13.267164, Mesh Relaxation = 0.644103, Smooth Level = 1, 	79
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Rage, Anger, Annoyance, Amazement, Surprise, Focus, 	 Horizontal Circulation,         	X LENGTH = 30.533048, Y Length = 97.461987, Height = 64.500227, Number of Points = 30.167183, Distribution Seed = 3.548877, Mesh Relaxation = 0.609665, Smooth Level = 1, 	80
